"Dinophysis";"Dinophysis...phalacroma";"Dinophysis.acuminata";"Dinophysis.caudata";"Dinophysis.tripos";"Dinophysis.acuta";"Dinophysis.sacculus";"Dinophysis.fortii";"Dinophysis.hastata...odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;1;"2016-01-18";"11:00:00";"FLORTOT";-2,5833333333;47,2291666667;60538998;18;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;2;"2016-02-01";"11:30:00";"FLORTOT";-2,5833333333;47,2291666667;60539382;32;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;2;"2016-02-15";"11:45:00";"FLORTOT";-2,5833333333;47,2291666667;60540099;46;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;3;"2016-03-01";"09:40:00";"FLORTOT";-2,5833333333;47,2291666667;60543113;61;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;3;"2016-03-14";"09:45:00";"FLORTOT";-2,5833333333;47,2291666667;60543132;74;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;4;"2016-04-12";"09:20:00";"FLORTOT";-2,5833333333;47,2291666667;60554584;103;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;4;"2016-04-27";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60554585;118;0;0;0
0;0;100;0;0;0;0;0;0;22;"Basse Michaud";2016;5;"2016-05-10";"09:10:00";"FLORTOT";-2,5833333333;47,2291666667;60554593;131;100;2,00432137378264;1
0;0;600;0;0;0;0;0;0;22;"Basse Michaud";2016;5;"2016-05-30";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60558699;151;600;2,77887447200274;6
0;0;1000;0;0;0;0;0;0;22;"Basse Michaud";2016;6;"2016-06-13";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60558735;165;1000;3,00043407747932;10
0;0;1400;0;0;0;0;0;0;22;"Basse Michaud";2016;6;"2016-06-27";"09:35:00";"FLORTOT";-2,5833333333;47,2291666667;60558723;179;1400;3,14643813528577;14
0;0;3100;0;0;0;0;0;0;22;"Basse Michaud";2016;7;"2016-07-11";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60558730;193;3100;3,49150176623733;31
0;0;200;0;0;0;0;0;0;22;"Basse Michaud";2016;7;"2016-07-25";"09:20:00";"FLORTOT";-2,5833333333;47,2291666667;60558731;207;200;2,30319605742049;2
0;0;100;0;0;0;0;0;0;22;"Basse Michaud";2016;8;"2016-08-08";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60558732;221;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;8;"2016-08-22";"09:20:00";"FLORTOT";-2,5833333333;47,2291666667;60559513;235;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;9;"2016-09-06";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60559520;250;0;0;0
0;0;100;0;0;0;0;0;0;22;"Basse Michaud";2016;9;"2016-09-20";"08:55:00";"FLORTOT";-2,5833333333;47,2291666667;60560247;264;100;2,00432137378264;1
0;0;500;0;0;0;0;0;0;22;"Basse Michaud";2016;10;"2016-10-10";"11:05:00";"FLORTOT";-2,5833333333;47,2291666667;60563910;284;500;2,69983772586725;5
0;0;100;0;0;0;0;0;0;22;"Basse Michaud";2016;10;"2016-10-24";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60563912;298;100;2,00432137378264;1
0;0;0;0;0;100;0;0;0;22;"Basse Michaud";2016;11;"2016-11-07";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60563911;312;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2016;12;"2016-12-06";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60564395;341;0;0;0
0;0;0;0;0;100;0;0;0;22;"Basse Michaud";2016;12;"2016-12-20";"09:05:00";"FLORTOT";-2,5833333333;47,2291666667;60565220;355;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;1;"2017-01-09";"14:35:00";"FLORTOT";-2,5833333333;47,2291666667;60565637;9;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;1;"2017-01-23";"14:25:00";"FLORTOT";-2,5833333333;47,2291666667;60566335;23;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;2;"2017-02-06";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60566597;37;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;2;"2017-02-20";"10:55:00";"FLORTOT";-2,5833333333;47,2291666667;60580719;51;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;3;"2017-03-09";"14:35:00";"FLORTOT";-2,5833333333;47,2291666667;60581396;68;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;3;"2017-03-20";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60589005;79;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;4;"2017-04-03";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60589022;93;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;4;"2017-04-18";"09:35:00";"FLORTOT";-2,5833333333;47,2291666667;60596870;108;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;5;"2017-05-02";"09:35:00";"FLORTOT";-2,5833333333;47,2291666667;60601709;122;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;5;"2017-05-16";"09:20:00";"FLORTOT";-2,5833333333;47,2291666667;60603159;136;0;0;0
400;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;5;"2017-05-30";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60603225;150;400;2,60314437262018;4
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;6;"2017-06-13";"08:50:00";"FLORTOT";-2,5833333333;47,2291666667;60603766;164;100;2,00432137378264;1
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;6;"2017-06-27";"08:40:00";"FLORTOT";-2,5833333333;47,2291666667;60605606;178;300;2,47856649559384;3
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;7;"2017-07-03";"15:00:00";"FLORTOT";-2,5833333333;47,2291666667;60608319;184;200;2,30319605742049;2
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;7;"2017-07-17";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60608340;198;300;2,47856649559384;3
0;0;0;0;100;0;0;0;0;22;"Basse Michaud";2017;7;"2017-07-31";"09:40:00";"FLORTOT";-2,5833333333;47,2291666667;60609367;212;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;8;"2017-08-16";"10:45:00";"FLORTOT";-2,5833333333;47,2291666667;60610457;228;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;8;"2017-08-28";"09:40:00";"FLORTOT";-2,5833333333;47,2291666667;60610488;240;0;0;0
0;0;0;200;0;0;0;0;0;22;"Basse Michaud";2017;9;"2017-09-12";"09:35:00";"FLORTOT";-2,5833333333;47,2291666667;60612408;255;200;2,30319605742049;2
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;9;"2017-09-25";"09:20:00";"FLORTOT";-2,5833333333;47,2291666667;60612419;268;0;0;0
700;0;0;0;0;200;0;0;0;22;"Basse Michaud";2017;10;"2017-10-10";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60628222;283;900;2,95472479097906;9
900;0;0;200;0;0;0;0;0;22;"Basse Michaud";2017;10;"2017-10-24";"09:15:00";"FLORTOT";-2,5833333333;47,2291666667;60628248;297;1100;3,04178731897175;11
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;11;"2017-11-13";"14:50:00";"FLORTOT";-2,5833333333;47,2291666667;60628848;317;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;11;"2017-11-27";"10:40:00";"FLORTOT";-2,5833333333;47,2291666667;60629289;331;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2017;12;"2017-12-12";"14:50:00";"FLORTOT";-2,5833333333;47,2291666667;60633347;346;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;1;"2018-01-09";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60631439;9;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;1;"2018-01-29";"15:30:00";"FLORTOT";-2,5833333333;47,2291666667;60651188;29;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;2;"2018-02-12";"14:40:00";"FLORTOT";-2,5833333333;47,2291666667;60651192;43;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;2;"2018-02-26";"15:50:00";"FLORTOT";-2,5833333333;47,2291666667;60651196;57;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;3;"2018-03-13";"14:45:00";"FLORTOT";-2,5833333333;47,2291666667;60651201;72;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;3;"2018-03-26";"14:45:00";"FLORTOT";-2,5833333333;47,2291666667;60651969;85;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;4;"2018-04-09";"14:50:00";"FLORTOT";-2,5833333333;47,2291666667;60656876;99;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;4;"2018-04-23";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60656882;113;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;5;"2018-05-07";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60656904;127;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;5;"2018-05-22";"10:35:00";"FLORTOT";-2,5833333333;47,2291666667;60667281;142;0;0;0
0;0;1100;0;0;0;0;0;0;22;"Basse Michaud";2018;6;"2018-06-04";"10:05:00";"FLORTOT";-2,5833333333;47,2291666667;60667291;155;1100;3,04178731897175;11
2700;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;6;"2018-06-18";"09:40:00";"FLORTOT";-2,5833333333;47,2291666667;60667305;169;2700;3,43152458418745;27
400;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;7;"2018-07-03";"09:45:00";"FLORTOT";-2,5833333333;47,2291666667;60667324;184;400;2,60314437262018;4
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;7;"2018-07-17";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60667348;198;100;2,00432137378264;1
0;0;0;0;100;0;0;0;0;22;"Basse Michaud";2018;8;"2018-08-06";"15:00:00";"FLORTOT";-2,5833333333;47,2291666667;60674406;218;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;8;"2018-08-21";"14:37:00";"FLORTOT";-2,5833333333;47,2291666667;60674425;233;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;9;"2018-09-04";"10:55:00";"FLORTOT";-2,5833333333;47,2291666667;60674440;247;0;0;0
1000;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;9;"2018-09-17";"10:35:00";"FLORTOT";-2,5833333333;47,2291666667;60674462;260;1000;3,00043407747932;10
500;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;10;"2018-10-01";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60674473;274;500;2,69983772586725;5
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;10;"2018-10-15";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60682003;288;100;2,00432137378264;1
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;11;"2018-11-06";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60682011;310;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;11;"2018-11-19";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60682021;323;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2018;12;"2018-12-04";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60682028;338;0;0;0
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;1;"2019-01-03";"14:35:00";"FLORTOT";-2,5833333333;47,2291666667;60695745;3;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;1;"2019-01-14";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60695752;14;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;1;"2019-01-28";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60695757;28;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;2;"2019-02-11";"10:35:00";"FLORTOT";-2,5833333333;47,2291666667;60695763;42;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;2;"2019-02-25";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60695773;56;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;3;"2019-03-25";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60701373;84;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;4;"2019-04-01";"15:20:00";"FLORTOT";-2,5833333333;47,2291666667;60701375;91;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;4;"2019-04-15";"14:40:00";"FLORTOT";-2,5833333333;47,2291666667;60701383;105;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;4;"2019-04-29";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60707560;119;0;0;0
900;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;5;"2019-05-13";"14:20:00";"FLORTOT";-2,5833333333;47,2291666667;60708016;133;900;2,95472479097906;9
800;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;5;"2019-05-27";"11:00:00";"FLORTOT";-2,5833333333;47,2291666667;60708182;147;800;2,90363251608424;8
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;6;"2019-06-11";"14:40:00";"FLORTOT";-2,5833333333;47,2291666667;60708189;162;300;2,47856649559384;3
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;6;"2019-06-24";"10:38:00";"FLORTOT";-2,5833333333;47,2291666667;60710520;175;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;7;"2019-07-08";"10:07:00";"FLORTOT";-2,5833333333;47,2291666667;60710522;189;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;7;"2019-07-24";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60711911;205;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;8;"2019-08-06";"08:20:00";"FLORTOT";-2,5833333333;47,2291666667;60720253;218;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;8;"2019-08-26";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60720926;238;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;9;"2019-09-09";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60720951;252;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;9;"2019-09-23";"11:15:00";"FLORTOT";-2,5833333333;47,2291666667;60726695;266;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;10;"2019-10-07";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60726704;280;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;10;"2019-10-22";"10:40:00";"FLORTOT";-2,5833333333;47,2291666667;60726717;295;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;11;"2019-11-06";"10:45:00";"FLORTOT";-2,5833333333;47,2291666667;60739461;310;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;11;"2019-11-18";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60739470;322;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;12;"2019-12-03";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60739528;337;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2019;12;"2019-12-17";"09:10:00";"FLORTOT";-2,5833333333;47,2291666667;60739584;351;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;1;"2020-01-07";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60743246;7;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;1;"2020-01-21";"14:15:00";"FLORTOT";-2,5833333333;47,2291666667;60743262;21;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;2;"2020-02-05";"11:50:00";"FLORTOT";-2,5833333333;47,2291666667;60744625;36;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;3;"2020-03-03";"10:17:00";"FLORTOT";-2,5833333333;47,2291666667;60745480;63;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;6;"2020-06-16";"14:40:00";"FLORTOT";-2,5833333333;47,2291666667;60751890;168;0;0;0
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;6;"2020-06-30";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60752812;182;200;2,30319605742049;2
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;7;"2020-07-16";"14:43:00";"FLORTOT";-2,5833333333;47,2291666667;60755490;198;0;0;0
400;0;0;100;0;0;0;0;0;22;"Basse Michaud";2020;7;"2020-07-28";"10:37:00";"FLORTOT";-2,5833333333;47,2291666667;60755516;210;500;2,69983772586725;5
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;8;"2020-08-11";"10:35:00";"FLORTOT";-2,5833333333;47,2291666667;60755559;224;300;2,47856649559384;3
0;0;100;0;0;600;0;0;0;22;"Basse Michaud";2020;8;"2020-08-25";"10:40:00";"FLORTOT";-2,5833333333;47,2291666667;60758722;238;700;2,84571801796666;7
400;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;9;"2020-09-08";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60758860;252;400;2,60314437262018;4
0;0;1500;0;0;100;0;0;0;22;"Basse Michaud";2020;9;"2020-09-22";"09:45:00";"FLORTOT";-2,5833333333;47,2291666667;60758875;266;1600;3,2043913319193;16
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;10;"2020-10-13";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60760527;287;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;11;"2020-11-09";"10:20:00";"FLORTOT";-2,5833333333;47,2291666667;60762520;314;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;11;"2020-11-24";"14:39:00";"FLORTOT";-2,5833333333;47,2291666667;60762535;329;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2020;12;"2020-12-08";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60763969;343;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;1;"2021-01-04";"09:40:00";"FLORTOT";-2,5833333333;47,2291666667;60765540;4;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;1;"2021-01-18";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60766982;18;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;2;"2021-02-08";"13:15:00";"FLORTOT";-2,5833333333;47,2291666667;60769602;39;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;3;"2021-03-09";"13:47:00";"FLORTOT";-2,5833333333;47,2291666667;60772479;68;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;3;"2021-03-22";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60772482;81;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;4;"2021-04-08";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60775471;98;0;0;0
0;0;200;0;0;0;0;0;0;22;"Basse Michaud";2021;4;"2021-04-19";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60775488;109;200;2,30319605742049;2
400;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;5;"2021-05-05";"12:40:00";"FLORTOT";-2,5833333333;47,2291666667;60776867;125;400;2,60314437262018;4
0;0;200;0;0;0;0;0;0;22;"Basse Michaud";2021;6;"2021-06-02";"11:45:00";"FLORTOT";-2,5833333333;47,2291666667;60778173;153;200;2,30319605742049;2
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;6;"2021-06-15";"09:39:00";"FLORTOT";-2,5833333333;47,2291666667;60783724;166;200;2,30319605742049;2
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;7;"2021-07-01";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60783754;182;0;0;0
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;7;"2021-07-08";"14:54:00";"FLORTOT";-2,5833333333;47,2291666667;60783764;189;100;2,00432137378264;1
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;7;"2021-07-21";"13:25:00";"FLORTOT";-2,5833333333;47,2291666667;60783778;202;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;8;"2021-08-03";"14:45:00";"FLORTOT";-2,5833333333;47,2291666667;60783806;215;0;0;0
600;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;8;"2021-08-17";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60785881;229;600;2,77887447200274;6
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;8;"2021-08-31";"10:05:00";"FLORTOT";-2,5833333333;47,2291666667;60785904;243;0;0;0
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;9;"2021-09-14";"09:30:00";"FLORTOT";-2,5833333333;47,2291666667;60786655;257;300;2,47856649559384;3
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;9;"2021-09-30";"12:10:00";"FLORTOT";-2,5833333333;47,2291666667;60790759;273;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;10;"2021-10-11";"10:30:00";"FLORTOT";-2,5833333333;47,2291666667;60790764;284;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;10;"2021-10-26";"09:45:00";"FLORTOT";-2,5833333333;47,2291666667;60790772;299;0;0;0
900;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;11;"2021-11-03";"13:50:00";"FLORTOT";-2,5833333333;47,2291666667;60790784;307;900;2,95472479097906;9
400;0;0;0;0;0;0;0;0;22;"Basse Michaud";2021;11;"2021-11-18";"14:20:00";"FLORTOT";-2,5833333333;47,2291666667;60790845;322;400;2,60314437262018;4
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;1;"2022-01-12";"11:30:00";"FLORTOT";-2,5833333333;47,2291666667;60798821;12;100;2,00432137378264;1
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;1;"2022-01-25";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60798830;25;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;2;"2022-02-07";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60798900;38;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;2;"2022-02-23";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60798907;54;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;3;"2022-03-15";"15:17:00";"FLORTOT";-2,5833333333;47,2291666667;60801310;74;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;3;"2022-03-28";"14:00:00";"FLORTOT";-2,5833333333;47,2291666667;60801316;87;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;4;"2022-04-13";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60801341;103;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;4;"2022-04-25";"14:36:00";"FLORTOT";-2,5833333333;47,2291666667;60801351;115;0;0;0
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;5;"2022-05-10";"12:30:00";"FLORTOT";-2,5833333333;47,2291666667;60801775;130;200;2,30319605742049;2
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;5;"2022-05-24";"14:30:00";"FLORTOT";-2,5833333333;47,2291666667;60805596;144;0;0;0
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;6;"2022-06-13";"15:00:00";"FLORTOT";-2,5833333333;47,2291666667;60805634;164;100;2,00432137378264;1
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;6;"2022-06-21";"10:45:00";"FLORTOT";-2,5833333333;47,2291666667;60805649;172;0;0;0
100;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;7;"2022-07-06";"09:35:00";"FLORTOT";-2,5833333333;47,2291666667;60807209;187;100;2,00432137378264;1
900;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;7;"2022-07-18";"10:00:00";"FLORTOT";-2,5833333333;47,2291666667;60807232;199;900;2,95472479097906;9
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;8;"2022-08-02";"09:00:00";"FLORTOT";-2,5833333333;47,2291666667;60808701;214;200;2,30319605742049;2
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;8;"2022-08-18";"09:37:00";"FLORTOT";-2,5833333333;47,2291666667;60810722;230;200;2,30319605742049;2
600;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;8;"2022-08-30";"09:03:00";"FLORTOT";-2,5833333333;47,2291666667;60810726;242;600;2,77887447200274;6
200;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;10;"2022-10-04";"14:32:00";"FLORTOT";-2,5833333333;47,2291666667;60814033;277;200;2,30319605742049;2
300;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;10;"2022-10-17";"10:45:00";"FLORTOT";-2,5833333333;47,2291666667;60814410;290;300;2,47856649559384;3
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;11;"2022-11-29";"09:47:00";"FLORTOT";-2,5833333333;47,2291666667;60815906;333;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;12;"2022-12-06";"13:54:00";"FLORTOT";-2,5833333333;47,2291666667;60815937;340;0;0;0
0;0;0;0;0;0;0;0;0;22;"Basse Michaud";2022;12;"2022-12-27";"08:20:00";"FLORTOT";-2,5833333333;47,2291666667;60816898;361;0;0;0
